Feature,Train_Mean,Serve_Mean,Mean_Diff,Z_Score_Diff,KS_Stat,KS_p_value,Wasserstein_Dist,Drift_Detected,Abs_Z_Score
ET_Max_Microsac_Dir,179.69027312980768,176.58123570000004,-3.1090374298076426,-6.679536025478646,0.9967948717948718,1.3311068288855506e-53,3.109037429807685,True,6.679536025478646
ET_SD_Saccade_Direction,2.1081842885897433,2.867820454,0.7596361654102566,4.697545938476864,0.9967948717948718,1.3311068288855506e-53,0.7596361654102562,True,4.697545938476864
ET_Mean_Saccade_Direction,-0.13403117763141026,0.9788015535714284,1.1128327312028388,2.992790747515267,0.891941391941392,8.687371935556953e-34,1.1802264525068682,True,2.992790747515267
ET_Skew_Saccade_Duration,1.8893224130641026,4.105199012166667,2.2158765991025637,2.8667871706247374,0.6735347985347986,7.60054053519309e-17,2.215876599102564,True,2.8667871706247374
ET_SD_Microsac_Peak_Vel,69.52315106304488,27.323189539999994,-42.199961523044884,-2.599232600886918,0.9967948717948718,1.3311068288855506e-53,42.19996152304488,True,2.599232600886918
ET_Mean_Microsac_Peak_Vel,119.42827801772437,37.86507619047619,-81.56320182724818,-2.5812943312591474,0.9967948717948718,1.3311068288855506e-53,81.60897187949175,True,2.5812943312591474
GSR_Number_of_Peaks,3.322201923076923e-05,0.0,-3.322201923076923e-05,-1.9050095770656168,0.9935897435897436,2.9284350235482126e-52,3.322201923076923e-05,True,1.9050095770656168
ET_Mean_Saccade_Duration,364.5551214089102,61.61904762,-302.9360737889102,-1.8879320159130182,0.9967948717948718,1.3311068288855506e-53,302.9360737889102,True,1.8879320159130182
ET_Skew_Microsac_Ampl,4.204884825804488,1.06028347,-3.144601355804488,-1.8000952741735847,0.9967948717948718,1.3311068288855506e-53,3.1446013558044874,True,1.8000952741735847
ET_Mean_Blink_Duration,135.6300069292359,307.2039071428572,171.5739002136213,1.7345987918374455,,,,True,1.7345987918374455
ET_Num_of_Fixations,0.4072806876891026,0.6133802132380953,0.20609952554899275,1.6828235076458995,0.6611721611721612,3.6012572109514634e-16,0.2060995255489927,True,1.6828235076458995
ET_SD_Microsac_Ampl,18.06162380352244,3.4937150640000008,-14.56790873952244,-1.6674830876245341,0.9967948717948718,1.3311068288855506e-53,14.567908739522437,True,1.6674830876245341
ET_Num_of_Microsac,1.3058882424711538,1.9767885878571427,0.670900345385989,1.5752870758090922,0.5828754578754579,2.3692370637670355e-12,0.670900345385989,True,1.5752870758090922
GSR_SD,0.635601899173077,1.404611017690476,0.7690091185173991,1.5375384006009623,0.706959706959707,8.938323938792222e-19,0.7896245728617216,True,1.5375384006009623
ET_SD_Microsac_V_Amp,6.2518284551987175,0.781327266,-5.470501189198718,-1.5340664535597517,0.9967948717948718,1.3311068288855506e-53,5.4705011891987185,True,1.5340664535597517
ET_Max_Microsac_H_Amp,106.73262720064103,10.14928808,-96.58333912064103,-1.4936940234227298,0.9967948717948718,1.3311068288855506e-53,96.583339120641,True,1.4936940234227298
ET_Mean_Microsac_V_Amp,-0.032341630214743594,0.5853571428571429,0.6176987730718865,1.4831305590170183,0.9391025641025641,9.248208990273274e-40,0.6636801003759157,True,1.4831305590170183
ET_SD_Microsac_Dir,115.72891823602563,107.39838571428572,-8.330532521739912,-1.4782140022630617,0.5993589743589743,4.212467301702407e-13,8.348616754816849,True,1.4782140022630617
ET_Max_Microsac_V_Amp,34.491485241057696,2.257030756,-32.2344544850577,-1.3450855870103031,0.9967948717948718,1.3311068288855506e-53,32.23445448505769,True,1.3450855870103031
ET_Skew_Saccade_Amplitude,2.0233996180448717,3.1014428571428576,1.078043239097986,1.3121704914114607,0.7211538461538461,1.1812105875474177e-19,1.0806579321172163,True,1.3121704914114607
ET_Skew_Blink_Duration,1.1501926150763637,-0.01447142857142857,-1.1646640436477922,-1.1036817185862215,,,,True,1.1036817185862215
ET_First_Fixation_Duration,3306.1346153846152,325.1768309523809,-2980.9577844322343,-0.7906629693048918,0.9487179487179487,2.4793775974191376e-41,2980.9577844322343,True,0.7906629693048918
ET_Num_of_Blink,0.1282655334455128,0.04286666666666667,-0.08539886677884614,-0.548992969685095,0.4990842490842491,5.4010570195803915e-09,0.08539886677884617,True,0.548992969685095
ET_Mean_Fixation_Duration,2665.2558518099363,955.2916667000001,-1709.9641851099364,-0.5327782771665585,0.9967948717948718,1.3311068288855506e-53,1709.9641851099354,True,0.5327782771665585
ET_Skew_Fixation_Duration,2.224207680551282,2.6148261904761907,0.3906185099249089,0.423348987329136,0.2907509157509158,0.002896208980047894,0.49780883232234435,True,0.423348987329136
ET_Mean_Microsac_H_Amp,0.0737333791025641,0.46389523809523797,0.39016185899267386,0.2998839186189215,0.6314102564102564,1.2112346531142544e-14,0.8988480154789377,True,0.2998839186189215
ET_Skew_Microsac_V_Amp,0.020274729685897424,-0.44516666666666654,-0.465441396352564,-0.17302708569282688,0.5224358974358975,7.333106822605885e-10,1.9624540174175822,True,0.17302708569282688
ET_Max_Saccade_Direction,3.1143609385608975,3.1415911409999997,0.027230202439102236,0.1551372021761115,0.9967948717948718,1.3311068288855506e-53,0.027230202439102718,True,0.1551372021761115
ET_Skew_Microsac_Peak_Vel,1.0841691170897436,1.0043761904761903,-0.0797929266135533,-0.11775991516281446,0.336996336996337,0.00030192716006080013,0.2999336576382783,True,0.11775991516281446
ET_Skew_Microsac_H_Amp,0.03062340037499994,0.1524833333333333,0.12185993295833336,0.04484537229985022,0.46794871794871795,6.511453941168324e-08,1.8243815136744503,True,0.04484537229985022
ET_Mean_Microsac_Dir,-4.081331103919871,-3.642,0.4393311039198715,0.03489940691073683,0.20695970695970695,0.07183859238022905,3.6782219467614463,False,0.03489940691073683
GSR_Mean,10.425263110971153,10.443497363809524,0.018234252838370324,0.0036341030182854253,0.25686813186813184,0.012142657631068626,2.300187839887821,False,0.0036341030182854253
