iter	Accuracy	Logloss
0	0.7454545455	0.6645248448
1	0.7454545455	0.6281281376
2	0.7454545455	0.6078519825
3	0.75	0.5918746169
4	0.7545454545	0.5705614442
5	0.7545454545	0.5517563852
6	0.75	0.5446294573
7	0.75	0.537982469
8	0.7545454545	0.5223288059
9	0.75	0.5132658784
10	0.75	0.5049584695
11	0.75	0.499778923
12	0.75	0.4949536052
13	0.75	0.4853885524
14	0.7545454545	0.4776005081
15	0.7681818182	0.4622148971
16	0.7681818182	0.4584015517
17	0.7727272727	0.4557474625
18	0.7863636364	0.4470746681
19	0.7863636364	0.4447789974
20	0.7863636364	0.4396748749
21	0.7863636364	0.4381894968
22	0.7909090909	0.4311052785
23	0.7909090909	0.429661436
24	0.7909090909	0.4269265447
25	0.7818181818	0.4233618289
26	0.7954545455	0.4189721814
27	0.8136363636	0.413413426
28	0.8181818182	0.4112751109
29	0.8136363636	0.4092006649
30	0.8136363636	0.4061343419
31	0.8136363636	0.4030410711
32	0.8136363636	0.3995481297
33	0.8227272727	0.395776734
34	0.8272727273	0.3924332526
35	0.8227272727	0.3900845078
36	0.8272727273	0.3892363748
37	0.8318181818	0.3848946388
38	0.8318181818	0.3829482922
39	0.8363636364	0.3793711069
40	0.8363636364	0.3774416753
41	0.8363636364	0.3760173887
42	0.8363636364	0.3730606499
43	0.8454545455	0.369603375
44	0.8409090909	0.3654671345
45	0.8409090909	0.3634654076
46	0.8454545455	0.3500530252
47	0.8454545455	0.3461891104
48	0.8545454545	0.3408962974
49	0.8636363636	0.338019783
50	0.8545454545	0.3349289033
51	0.8681818182	0.3328350033
52	0.8636363636	0.3306886124
53	0.8681818182	0.3251118211
54	0.8727272727	0.3212154732
55	0.8727272727	0.3191180121
56	0.8727272727	0.3145641885
57	0.8727272727	0.3079603256
58	0.8863636364	0.3032303471
59	0.8954545455	0.2971634587
60	0.9	0.2952322485
61	0.9136363636	0.2912226633
62	0.9181818182	0.2876660519
63	0.9136363636	0.2845652022
64	0.9136363636	0.2837639619
65	0.9181818182	0.2809871504
66	0.9181818182	0.2771466914
67	0.9181818182	0.2756259538
68	0.9227272727	0.2723185697
69	0.9272727273	0.2678464801
70	0.9318181818	0.2639673631
71	0.9318181818	0.2619085993
72	0.9363636364	0.2569435105
73	0.9363636364	0.2511150434
74	0.9409090909	0.2499294713
75	0.9409090909	0.2441408148
76	0.9454545455	0.2399381599
77	0.95	0.2377514138
78	0.95	0.232071565
79	0.95	0.2264659311
80	0.9545454545	0.2232802613
81	0.9545454545	0.2197770528
82	0.9545454545	0.2149786522
83	0.9545454545	0.2127482236
84	0.9545454545	0.2083706947
85	0.9545454545	0.2062206616
86	0.9545454545	0.2031666047
87	0.9545454545	0.2013161265
88	0.9590909091	0.1997533265
89	0.9590909091	0.1968337225
90	0.9590909091	0.1949629727
91	0.9590909091	0.1912375216
92	0.9590909091	0.1886699691
93	0.9590909091	0.1842668127
94	0.9590909091	0.1824459269
95	0.9636363636	0.1786077276
96	0.9681818182	0.1724689846
97	0.9681818182	0.1680811745
98	0.9727272727	0.1659553905
99	0.9772727273	0.1635770353
